2020-09-12T23:10:56.056715[UTC], User Name: test, login successful.
2020-09-13T03:53:15.378357[UTC], User Name: user, Delete Appointment Successful: AppointmentID  22
2020-09-13T03:57:45.217137[UTC], User Name: user, logout successful.
2020-09-13T16:14:34.954075[UTC], User Name: test, login successful.
2020-09-13T16:15:44.172494[UTC], User Name: test, login successful.
2020-09-13T16:15:59.208743[UTC], User Name: test, logout successful.
2020-09-13T16:27:25.185831[UTC], User Name: test, login successful.
2020-09-13T16:27:27.783172[UTC], User Name: test, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-13T16:28:06.513293[UTC], User Name: test, logout successful.
2020-09-13T16:30:14.552665[UTC], User Name: test, login successful.
2020-09-13T16:35:22.962702[UTC], User Name: test, logout successful.
2020-09-13T16:37:52.330916[UTC], User Name: test, login successful.
2020-09-13T16:38:06.803495[UTC], User Name: test, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-13T16:38:44.271492[UTC], User Name: test, login successful.
2020-09-13T16:38:46.860488[UTC], User Name: test, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-13T16:41:26.396436[UTC], User Name: test, login successful.
2020-09-13T16:41:30.898484[UTC], User Name: test, Report generated: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-13T16:41:56.234978[UTC], User Name: test, login successful.
2020-09-13T16:42:00.976264[UTC], User Name: test, Report generated: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-13T16:42:27.403720[UTC], User Name: test, logout successful.
2020-09-13T19:34:42.010322[UTC], User Name: test, login successful.
2020-09-13T19:34:45.516435[UTC], User Name: test, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-13T19:36:07.768393[UTC], User Name: test, login successful.
2020-09-13T19:36:10.749242[UTC], User Name: test, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-13T19:36:39.406676[UTC], User Name: test, login successful.
2020-09-13T19:36:43.747659[UTC], User Name: test, Report generated: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-13T19:40:27.451969[UTC], User Name: test, login successful.
2020-09-13T19:40:32.805439[UTC], User Name: test, Report generated: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-13T19:40:34.435063[UTC], User Name: test, Report Exported: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-13T19:41:08.355039[UTC], User Name: test, logout successful.
2020-09-14T00:03:31.840225[UTC], User Name: test, login successful.
2020-09-14T00:03:53.574036[UTC], User Name: test,  Update Customer Successful: Customer ID  7
2020-09-14T00:05:47.963381[UTC], User Name: test, login successful.
2020-09-14T00:06:48.446875[UTC], User Name: test,  Update Customer Successful: Customer ID  7
2020-09-14T00:06:50.746411[UTC], User Name: test, logout successful.
2020-09-14T00:08:11.411856[UTC], User Name: test, login successful.
2020-09-14T00:08:34.380262[UTC], User Name: test,  Update Customer Successful: Customer ID  2
2020-09-14T00:08:49.351866[UTC], User Name: test, Update Appointment Successful: AppointmentID  18
2020-09-14T00:09:14.664354[UTC], User Name: test, logout successful.
2020-09-14T00:09:30.964169[UTC], User Name: test, login successful.
2020-09-14T00:10:36.832141[UTC], User Name: test, login successful.
2020-09-14T00:12:00.440968[UTC], User Name: test, Add New Appointment Successful: AppointmentID  25
2020-09-14T00:12:03.229565[UTC], User Name: test, logout successful.
